year_round,country_code,value,over,fill,color,n,world,world_text,title,map_col,map_row
1960,IRQ,1.1501782375,FALSE,1.1501782375,NA,7,2,0K,1960 7,16,14
1960,ISL,6.508521197,FALSE,6.508521197,NA,7,2,0K,1960 7,7,25
1960,ISR,3.1477694014999997,FALSE,3.1477694014999997,NA,7,2,0K,1960 7,14,14
1960,ITA,2.321500291,FALSE,2.321500291,NA,7,2,0K,1960 7,10,18
1960,JAM,1.096846757,FALSE,1.096846757,NA,7,2,0K,1960 7,2,13
1960,JOR,0.9023327345,FALSE,0.9023327345,NA,7,2,0K,1960 7,15,14
1960,JPN,2.7492584535,FALSE,2.7492584535,NA,7,2,0K,1960 7,23,19
1960,KEN,0.2933770925,FALSE,0.2933770925,NA,7,2,0K,1960 7,15,7
1960,KHM,0.044857055,FALSE,0.044857055,NA,7,2,0K,1960 7,20,11
1960,KIR,0.173557044,FALSE,0.173557044,NA,7,2,0K,1960 7,NA,NA
1960,KNA,0.322334794,FALSE,0.322334794,NA,7,2,0K,1960 7,NA,NA
1960,KOR,0.5315759170000001,FALSE,0.5315759170000001,NA,7,2,0K,1960 7,22,19
1960,KWT,31.033369989999997,TRUE,10,black,7,2,0K,1960 7,16,13
1960,LAO,0.045207566000000005,FALSE,0.045207566000000005,NA,7,2,0K,1960 7,20,13
1960,LBN,1.4349340179999999,FALSE,1.4349340179999999,NA,7,2,0K,1960 7,14,15
1960,LBR,0.14410533250000002,FALSE,0.14410533250000002,NA,7,2,0K,1960 7,8,8
1960,LBY,0.638242207,FALSE,0.638242207,NA,7,2,0K,1960 7,12,13
1960,LCA,0.18241931,FALSE,0.18241931,NA,7,2,0K,1960 7,4,9
1960,LKA,0.229883667,FALSE,0.229883667,NA,7,2,0K,1960 7,18,12
1960,LUX,36.634480429999996,TRUE,10,black,7,2,0K,1960 7,10,21
1960,MAC,0.357339024,FALSE,0.357339024,NA,7,2,0K,1960 7,21,16
1960,MAR,0.2962568095,FALSE,0.2962568095,NA,7,2,0K,1960 7,9,14
1960,MDG,0.0732389,FALSE,0.0732389,NA,7,2,0K,1960 7,15,2
1960,MEX,1.6555660689999998,FALSE,1.6555660689999998,NA,7,2,0K,1960 7,1,16
1960,MLI,0.022518665,FALSE,0.022518665,NA,7,2,0K,1960 7,10,12
1960,MLT,0.9731488865,FALSE,0.9731488865,NA,7,2,0K,1960 7,10,17
1960,MMR,0.1252057385,FALSE,0.1252057385,NA,7,2,0K,1960 7,19,12
1960,MNG,1.3867372845000001,FALSE,1.3867372845000001,NA,7,2,0K,1960 7,20,20
1960,MOZ,0.302113988,FALSE,0.302113988,NA,7,2,0K,1960 7,14,3
1960,MRT,0.0483522975,FALSE,0.0483522975,NA,7,2,0K,1960 7,8,14
1960,MUS,0.273617058,FALSE,0.273617058,NA,7,2,0K,1960 7,16,1
1960,NCL,10.9184542,TRUE,10,black,7,2,0K,1960 7,22,5
1960,NER,0.012217169,FALSE,0.012217169,NA,7,2,0K,1960 7,11,12
1960,NGA,0.082396406,FALSE,0.082396406,NA,7,2,0K,1960 7,12,8
1960,NIC,0.3030634,FALSE,0.3030634,NA,7,2,0K,1960 7,2,9
1960,NLD,6.4597686425,FALSE,6.4597686425,NA,7,2,0K,1960 7,10,22
1960,NOR,3.678629043,FALSE,3.678629043,NA,7,2,0K,1960 7,11,25
1960,NPL,0.007954632,FALSE,0.007954632,NA,7,2,0K,1960 7,18,14
1960,NZL,4.865117915500001,FALSE,4.865117915500001,NA,7,2,0K,1960 7,22,1
1960,PAK,0.3169622715,FALSE,0.3169622715,NA,7,2,0K,1960 7,17,14
1960,PAN,0.9130938555,FALSE,0.9130938555,NA,7,2,0K,1960 7,2,7
1960,PER,0.8237206994999999,FALSE,0.8237206994999999,NA,7,2,0K,1960 7,2,4
1960,PHL,0.3191972235,FALSE,0.3191972235,NA,7,2,0K,1960 7,21,14
1960,PLW,3.3534588574999997,FALSE,3.3534588574999997,NA,7,2,0K,1960 7,NA,NA
1960,PNG,0.09382700199999999,FALSE,0.09382700199999999,NA,7,2,0K,1960 7,21,8
1960,POL,6.8315825725,FALSE,6.8315825725,NA,7,2,0K,1960 7,12,22
1960,PRT,0.973314204,FALSE,0.973314204,NA,7,2,0K,1960 7,7,18
1960,PRY,0.17290077599999998,FALSE,0.17290077599999998,NA,7,2,0K,1960 7,4,3
1960,PYF,0.598340982,FALSE,0.598340982,NA,7,2,0K,1960 7,23,4
1960,QAT,3.4262278965000004,FALSE,3.4262278965000004,NA,7,2,0K,1960 7,16,11
1960,ROU,2.9548518075,FALSE,2.9548518075,NA,7,2,0K,1960 7,NA,NA
1960,RWA,0.041380658,FALSE,0.041380658,NA,7,2,0K,1960 7,14,6
1960,SAU,0.75082244,FALSE,0.75082244,NA,7,2,0K,1960 7,15,12
1960,SDN,0.129296955,FALSE,0.129296955,NA,7,2,0K,1960 7,13,12
1960,SEN,0.252739139,FALSE,0.252739139,NA,7,2,0K,1960 7,8,13
1960,SGP,1.0381560145,FALSE,1.0381560145,NA,7,2,0K,1960 7,20,9
1960,SLB,0.10708125399999999,FALSE,0.10708125399999999,NA,7,2,0K,1960 7,22,9
1960,SLE,0.21783160850000002,FALSE,0.21783160850000002,NA,7,2,0K,1960 7,8,9
1960,SLV,0.214684062,FALSE,0.214684062,NA,7,2,0K,1960 7,1,9
1960,SOM,0.030938629999999998,FALSE,0.030938629999999998,NA,7,2,0K,1960 7,16,8
1960,STP,0.1708185905,FALSE,0.1708185905,NA,7,2,0K,1960 7,11,6
1960,SUR,1.4655425430000002,FALSE,1.4655425430000002,NA,7,2,0K,1960 7,5,6
1960,SWE,6.536327427,FALSE,6.536327427,NA,7,2,0K,1960 7,12,25
1960,SWZ,0.052388019,FALSE,0.052388019,NA,7,2,0K,1960 7,14,2
1960,SYR,0.6770037085,FALSE,0.6770037085,NA,7,2,0K,1960 7,15,15
1960,TCD,0.017550223500000003,FALSE,0.017550223500000003,NA,7,2,0K,1960 7,12,12
1960,TGO,0.0495739985,FALSE,0.0495739985,NA,7,2,0K,1960 7,11,8
1960,THA,0.14126494950000001,FALSE,0.14126494950000001,NA,7,2,0K,1960 7,20,12
1960,TON,0.175581502,FALSE,0.175581502,NA,7,2,0K,1960 7,23,5
1960,TTO,4.180349709,FALSE,4.180349709,NA,7,2,0K,1960 7,4,7
1960,TUN,0.415413264,FALSE,0.415413264,NA,7,2,0K,1960 7,11,14
1960,TUR,0.614575633,FALSE,0.614575633,NA,7,2,0K,1960 7,14,16
1960,TZA,0.075066683,FALSE,0.075066683,NA,7,2,0K,1960 7,15,5
1960,UGA,0.060108104999999995,FALSE,0.060108104999999995,NA,7,2,0K,1960 7,14,7
1960,URY,1.6521533715,FALSE,1.6521533715,NA,7,2,0K,1960 7,4,2
1960,USA,15.84051734,TRUE,10,black,7,2,0K,1960 7,2,19
1960,VCT,0.1349134985,FALSE,0.1349134985,NA,7,2,0K,1960 7,5,8
1960,VEN,6.5709950995,FALSE,6.5709950995,NA,7,2,0K,1960 7,3,6
1960,VNM,0.233269051,FALSE,0.233269051,NA,7,2,0K,1960 7,20,14
1960,WSM,0.149269438,FALSE,0.149269438,NA,7,2,0K,1960 7,23,6
1960,YEM,0.6046945804999999,FALSE,0.6046945804999999,NA,7,2,0K,1960 7,16,10
1960,ZAF,5.656891034,FALSE,5.656891034,NA,7,2,0K,1960 7,12,1
1962,AFG,0.07399873800000001,FALSE,0.07399873800000001,NA,7,2,0K,1962 7,17,15
1962,AGO,0.1969119055,FALSE,0.1969119055,NA,7,2,0K,1962 7,12,3
1962,ALB,1.310818554,FALSE,1.310818554,NA,7,2,0K,1962 7,12,16
1962,ARE,0.1691204715,FALSE,0.1691204715,NA,7,2,0K,1962 7,17,11
1962,ARG,2.4193742185,FALSE,2.4193742185,NA,7,2,0K,1962 7,3,1
1962,ATG,1.6218076744999999,FALSE,1.6218076744999999,NA,7,2,0K,1962 7,NA,NA
1962,AUS,9.031063977999999,FALSE,9.031063977999999,NA,7,2,0K,1962 7,20,3
1962,AUT,4.955277710000001,FALSE,4.955277710000001,NA,7,2,0K,1962 7,11,20
1962,BDI,0.015683529,FALSE,0.015683529,NA,7,2,0K,1962 7,14,5
1962,BEL,11.014059185,TRUE,10,black,7,2,0K,1962 7,9,21
1962,BEN,0.050898683,FALSE,0.050898683,NA,7,2,0K,1962 7,11,9
1962,BFA,0.017253659499999997,FALSE,0.017253659499999997,NA,7,2,0K,1962 7,10,10
1962,BGR,4.0478363725,FALSE,4.0478363725,NA,7,2,0K,1962 7,14,19
1962,BHR,7.9511660865,FALSE,7.9511660865,NA,7,2,0K,1962 7,16,12
1962,BHS,5.777271804,FALSE,5.777271804,NA,7,2,0K,1962 7,3,16
1962,BLZ,0.6689076915,FALSE,0.6689076915,NA,7,2,0K,1962 7,2,11
1962,BMU,3.2678205835,FALSE,3.2678205835,NA,7,2,0K,1962 7,NA,NA
1962,BOL,0.298393006,FALSE,0.298393006,NA,7,2,0K,1962 7,3,4
1962,BRA,0.703278216,FALSE,0.703278216,NA,7,2,0K,1962 7,5,4
1962,BRB,0.967865336,FALSE,0.967865336,NA,7,2,0K,1962 7,5,9
1962,BRN,3.9693083845,FALSE,3.9693083845,NA,7,2,0K,1962 7,21,9
1962,CAF,0.046681346,FALSE,0.046681346,NA,7,2,0K,1962 7,13,7
1962,CAN,11.131364940000001,TRUE,10,black,7,2,0K,1962 7,2,22
1962,CHE,4.722433778499999,FALSE,4.722433778499999,NA,7,2,0K,1962 7,9,20
1962,CHL,2.088827916,FALSE,2.088827916,NA,7,2,0K,1962 7,2,1
1962,CHN,0.6507150315000001,FALSE,0.6507150315000001,NA,7,2,0K,1962 7,20,18
1962,CIV,0.15435791999999998,FALSE,0.15435791999999998,NA,7,2,0K,1962 7,9,8
1962,CMR,0.054058951,FALSE,0.054058951,NA,7,2,0K,1962 7,12,7
1962,COD,0.13750204300000002,FALSE,0.13750204300000002,NA,7,2,0K,1962 7,NA,NA
1962,COG,0.21371710700000002,FALSE,0.21371710700000002,NA,7,2,0K,1962 7,13,5
1962,COL,1.1448829895000001,FALSE,1.1448829895000001,NA,7,2,0K,1962 7,2,6
1962,COM,0.0553447255,FALSE,0.0553447255,NA,7,2,0K,1962 7,15,3
1962,CPV,0.077286841,FALSE,0.077286841,NA,7,2,0K,1962 7,7,14
1962,CRI,0.3945325155,FALSE,0.3945325155,NA,7,2,0K,1962 7,2,8
1962,CUB,1.8067258145,FALSE,1.8067258145,NA,7,2,0K,1962 7,2,15
1962,CYM,1.3438306055,FALSE,1.3438306055,NA,7,2,0K,1962 7,NA,NA
1962,CYP,1.637374543,FALSE,1.637374543,NA,7,2,0K,1962 7,13,15
1962,DJI,0.5809903875,FALSE,0.5809903875,NA,7,2,0K,1962 7,15,9
1962,DMA,0.205307923,FALSE,0.205307923,NA,7,2,0K,1962 7,NA,NA
1962,DNK,8.3174693305,FALSE,8.3174693305,NA,7,2,0K,1962 7,11,22
1962,DOM,0.348343929,FALSE,0.348343929,NA,7,2,0K,1962 7,4,14
1962,DZA,0.4688889255,FALSE,0.4688889255,NA,7,2,0K,1962 7,10,14
1962,ECU,0.34402948,FALSE,0.34402948,NA,7,2,0K,1962 7,2,5
1962,EGY,0.69422557,FALSE,0.69422557,NA,7,2,0K,1962 7,13,13
1962,ESP,1.9076454225,FALSE,1.9076454225,NA,7,2,0K,1962 7,8,18
1962,ETH,0.0173873305,FALSE,0.0173873305,NA,7,2,0K,1962 7,15,8
1962,FIN,4.0110991364999995,FALSE,4.0110991364999995,NA,7,2,0K,1962 7,13,25
1962,FJI,0.5514120295,FALSE,0.5514120295,NA,7,2,0K,1962 7,22,6
1962,FRA,6.5258640119999995,FALSE,6.5258640119999995,NA,7,2,0K,1962 7,8,20
1962,FRO,3.3804456345,FALSE,3.3804456345,NA,7,2,0K,1962 7,NA,NA
1962,GAB,0.15734459950000002,FALSE,0.15734459950000002,NA,7,2,0K,1962 7,12,5
1962,GBR,11.198890925,TRUE,10,black,7,2,0K,1962 7,8,22
1962,GHA,0.2191705535,FALSE,0.2191705535,NA,7,2,0K,1962 7,10,8
1962,GIB,2.2393653495,FALSE,2.2393653495,NA,7,2,0K,1962 7,NA,NA
1962,GIN,0.18233253049999998,FALSE,0.18233253049999998,NA,7,2,0K,1962 7,8,10
1962,GMB,0.0711647095,FALSE,0.0711647095,NA,7,2,0K,1962 7,8,12
1962,GNB,0.0694577695,FALSE,0.0694577695,NA,7,2,0K,1962 7,8,11
1962,GNQ,0.090035979,FALSE,0.090035979,NA,7,2,0K,1962 7,12,6
1962,GRC,1.3244380434999998,FALSE,1.3244380434999998,NA,7,2,0K,1962 7,13,16
1962,GRD,0.2174284855,FALSE,0.2174284855,NA,7,2,0K,1962 7,4,8
1962,GRL,8.3051505495,FALSE,8.3051505495,NA,7,2,0K,1962 7,NA,NA
1962,GTM,0.3204118845,FALSE,0.3204118845,NA,7,2,0K,1962 7,1,10
1962,GUY,1.0542332175,FALSE,1.0542332175,NA,7,2,0K,1962 7,4,6
1962,HKG,1.1786949039999999,FALSE,1.1786949039999999,NA,7,2,0K,1962 7,21,17
1962,HND,0.3229187475,FALSE,0.3229187475,NA,7,2,0K,1962 7,2,10
1962,HTI,0.068213072,FALSE,0.068213072,NA,7,2,0K,1962 7,3,14
1962,HUN,5.3020417989999995,FALSE,5.3020417989999995,NA,7,2,0K,1962 7,13,20
1962,IDN,0.2440641705,FALSE,0.2440641705,NA,7,2,0K,1962 7,20,8
1962,IND,0.3146604875,FALSE,0.3146604875,NA,7,2,0K,1962 7,18,13
1962,IRL,4.672651782,FALSE,4.672651782,NA,7,2,0K,1962 7,7,22
1962,IRN,1.6847812229999999,FALSE,1.6847812229999999,NA,7,2,0K,1962 7,16,15
1962,IRQ,1.1838984185,FALSE,1.1838984185,NA,7,2,0K,1962 7,16,14
1962,ISL,6.8032664485000005,FALSE,6.8032664485000005,NA,7,2,0K,1962 7,7,25
1962,ISR,3.4575515709999998,FALSE,3.4575515709999998,NA,7,2,0K,1962 7,14,14
1962,ITA,3.04679826,FALSE,3.04679826,NA,7,2,0K,1962 7,10,18
1962,JAM,1.3361749215,FALSE,1.3361749215,NA,7,2,0K,1962 7,2,13
1962,JOR,1.1011946285,FALSE,1.1011946285,NA,7,2,0K,1962 7,15,14
1962,JPN,3.2095285635,FALSE,3.2095285635,NA,7,2,0K,1962 7,23,19
1962,KEN,0.312468043,FALSE,0.312468043,NA,7,2,0K,1962 7,15,7
